,A,B,R_val,R_z_score,R_p_val
2809,Monocyte_CD14,Monocyte_CD16,0.4739628282093008,128.38216397842072,0.0
208,B_memory,Monocyte_CD16,0.47025932038670765,127.37899596549471,0.0
207,B_memory,Monocyte_CD14,0.4664731451626295,126.35343585921991,0.0
2783,Macrophage_intermediate,Monocyte_CD16,0.46397075176856534,125.67561333826603,0.0
778,CD4_naive_CM,Macro_alveolar_metallothioneins,0.4609964120019331,124.86995485004658,0.0
2820,Monocyte_CD14,NKT,0.46064636246950197,124.7751370419857,0.0
2845,Monocyte_CD16,NKT,0.4575670374339188,123.94104122659294,0.0
2782,Macrophage_intermediate,Monocyte_CD14,0.45728452488037485,123.86451713901403,0.0
934,CD8_EM_EMRA,NKT,0.45596916776062285,123.50822676477478,0.0
219,B_memory,NKT,0.4558155512600144,123.46661671099605,0.0
206,B_memory,Macrophage_intermediate,0.45573274576017986,123.44418721099024,0.0
922,CD8_EM_EMRA,Monocyte_CD14,0.4527119183618388,122.62593663241731,0.0
2537,Macro_alveolar_metallothioneins,Macrophage_intermediate,0.4525452987436143,122.58080442821104,0.0
192,B_memory,ILC,0.4479746107570369,121.34274359376971,0.0
2539,Macro_alveolar_metallothioneins,Monocyte_CD16,0.44796755077992256,121.34083125996285,0.0
923,CD8_EM_EMRA,Monocyte_CD16,0.44744241316263345,121.19858739677053,0.0
3068,NKT,gdT,0.44717759193083095,121.1268553520136,0.0
2404,MAIT,NKT,0.4464679022211493,120.93462192091019,0.0
166,B_memory,CD8_EM_EMRA,0.4462330536778141,120.87100856896345,0.0
1909,Endothelia_vascular_venous_pulmonary,Monocyte_CD16,0.44610070481019753,120.83515927232366,0.0
2325,ILC,NKT,0.4459177297571344,120.78559687656562,0.0
2532,Macro_alveolar_metallothioneins,Macro_int,0.44507712276272504,120.55790192123462,0.0
2314,ILC,Monocyte_CD16,0.44470304553033796,120.45657573755402,0.0
909,CD8_EM_EMRA,MAIT,0.44409197009403517,120.2910539240333,0.0
