,A,B,R_val,R_z_score,R_p_val
2422,Macro_CHIT1,Macro_alv,0.5404129152675153,146.38147840845608,0.0
2423,Macro_CHIT1,Macro_dividing,0.5344270008200367,144.7600756223759,0.0
2565,Macro_alv,Macro_dividing,0.5305497342521266,143.7098416321068,0.0
1230,DC_1,Macro_CHIT1,0.5155158576358171,139.63762014528996,0.0
2419,Macro_CHIT1,Macro_interstitial,0.5153927593115594,139.6042765404549,0.0
1234,DC_1,Macro_alv,0.514684559319962,139.41244662882602,0.0
1993,Erythrocyte,Macro_CHIT1,0.5132687651888888,139.02895091254408,0.0
2424,Macro_CHIT1,Macro_int,0.5132674141933704,139.02858496880788,0.0
2566,Macro_alv,Macro_int,0.5118217932018109,138.63701006009566,0.0
1997,Erythrocyte,Macro_alv,0.5105356843871581,138.28864216516882,0.0
2459,Macro_interstitial,Macro_alv,0.5102014334147179,138.1981037081428,0.0
1291,DC_2,Macro_CHIT1,0.5099936564554475,138.14182322775835,0.0
1235,DC_1,Macro_dividing,0.5099032578806436,138.11733699389538,0.0
1998,Erythrocyte,Macro_dividing,0.5088944223821428,137.84407403594335,0.0
2599,Macro_dividing,Macro_int,0.5080980789709967,137.6283687436546,0.0
1295,DC_2,Macro_alv,0.5079711823344819,137.5939962911589,0.0
2460,Macro_interstitial,Macro_dividing,0.507744362683945,137.5325577229092,0.0
2429,Macro_CHIT1,Macrophage_intermediate,0.5063520640274141,137.1554262185146,0.0
2571,Macro_alv,Macrophage_intermediate,0.5036493587083369,136.42334526868558,0.0
195,B_memory,Macro_CHIT1,0.5036455332973182,136.42230908079182,0.0
1296,DC_2,Macro_dividing,0.5030962990883955,136.27353818131246,0.0
199,B_memory,Macro_alv,0.5029823381233636,136.24266961013117,0.0
2430,Macro_CHIT1,Monocyte_CD14,0.5013015367911581,135.78739147563775,0.0
2604,Macro_dividing,Macrophage_intermediate,0.5006440118671923,135.60928790382937,0.0
200,B_memory,Macro_dividing,0.5003057428906325,135.51766109127618,0.0
2425,Macro_CHIT1,Macro_CCL,0.5002606587922239,135.50544917555155,0.0
2455,Macro_CHIT1,T_reg,0.4992396070204877,135.22887719946482,0.0
1351,DC_activated,Macro_CHIT1,0.4990314536670299,135.1724947653038,0.0
1410,DC_plasmacytoid,Macro_CHIT1,0.49802579685213366,134.90009281639186,0.0
2572,Macro_alv,Monocyte_CD14,0.49788283918231396,134.86136991679635,0.0
2567,Macro_alv,Macro_CCL,0.4977278673434862,134.81939274297534,0.0
2597,Macro_alv,T_reg,0.4975952230023467,134.78346341151425,0.0
779,CD4_naive_CM,Macro_alv,0.49739937549012325,134.73041425674396,0.0
1355,DC_activated,Macro_alv,0.4972224084961995,134.68247926209781,0.0
271,B_naive,Macro_CHIT1,0.49717853709717985,134.67059582987974,0.0
1414,DC_plasmacytoid,Macro_alv,0.49703749997014646,134.63239314711188,0.0
1999,Erythrocyte,Macro_int,0.49652384123715687,134.49325856574234,0.0
775,CD4_naive_CM,Macro_CHIT1,0.496205907034819,134.40713982716298,0.0
2605,Macro_dividing,Monocyte_CD14,0.4958591318864843,134.3132089505047,0.0
1994,Erythrocyte,Macro_interstitial,0.4958587898768658,134.31311631046563,0.0
1236,DC_1,Macro_int,0.4958314292940053,134.30570515788935,0.0
275,B_naive,Macro_alv,0.4957908468497552,134.29471260382758,0.0
2600,Macro_dividing,Macro_CCL,0.49547844552386383,134.21009255377177,0.0
1220,DC_1,Erythrocyte,0.4954375742500223,134.1990217645283,0.0
1041,CD8_TRM,Macro_CHIT1,0.4951147330422316,134.11157386690695,0.0
2630,Macro_dividing,T_reg,0.49493036830772486,134.06163504856818,0.0
1356,DC_activated,Macro_dividing,0.49470328380809175,134.0001247407261,0.0
2441,Macro_CHIT1,NK_CD16hi,0.4940554944513461,133.82465823898502,0.0
1045,CD8_TRM,Macro_alv,0.49389084632997693,133.78006005351926,0.0
1415,DC_plasmacytoid,Macro_dividing,0.4937589235242508,133.74432616413134,0.0
